,track_id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_sig,date_added
227,3SWZ9fHtWMxwkFok5qhhpO,Can You Get To That,Funkadelic,0.689,0.83,8,-8.774,1,0.0954,0.539,0.0,0.0882,0.815,140.732,171560,4,2016-06-09T18:19:36Z
228,5peWpcnjifjAIexmFCYiRK,Hit It And Quit It,Funkadelic,0.526,0.819,1,-8.364,1,0.139,0.013,0.0138,0.664,0.664,146.231,231907,4,2016-06-09T18:19:40Z
229,0jHkgTtTaqg5LNCiYDQPUB,Let's Get It On,Marvin Gaye,0.55,0.611,3,-10.657,1,0.0443,0.0392,0.0,0.0631,0.626,168.512,290960,4,2016-06-09T18:19:59Z
230,2fiMQ44VojtY1IODTpRlnh,Summer Breeze,The Isley Brothers,0.303,0.63,9,-9.897,0,0.0496,0.15,0.00179,0.134,0.483,155.887,372533,4,2016-06-09T18:20:05Z
231,19jo0UT2vqD4pNVfIqTy4R,River Deep - Mountain High,Ike & Tina Turner,0.621,0.972,8,-3.791,1,0.0724,0.472,0.000585,0.195,0.866,155.113,244160,4,2016-06-09T18:20:29Z
232,1j5C6t9MVOUlXFAnUPhdcQ,Halleluhwah - 2011 Remastered,CAN,0.66,0.953,7,-9.006,1,0.0382,0.0704,0.665,0.0842,0.641,92.048,1111600,4,2016-06-09T18:22:09Z
233,3tCWJHonRUJi2vgcqQz7T7,Autumn's Child,Captain Beefheart & His Magic Band,0.468,0.454,2,-8.642,1,0.0316,0.448,0.000153,0.0761,0.494,74.357,241733,4,2016-06-09T18:22:32Z
234,2tLOOAzvqZ2sarsAN0jTjS,Baron Saturday,The Pretty Things,0.659,0.672,0,-12.431,1,0.068,0.1,0.000665,0.198,0.393,88.444,241467,4,2016-06-09T18:22:54Z
235,7CdjCr8kf9ryfAJm5b9qCa,Ogdens’ Nut Gone Flake (Stereo),Small Faces,0.337,0.747,9,-9.948,1,0.0455,0.016,0.216,0.314,0.24,92.4,147520,4,2016-06-09T18:23:09Z
236,0VBNUr0tXN3GaxOjBoB0Es,Just Another Honky,Faces,0.696,0.671,2,-9.246,1,0.0824,0.696,0.0311,0.137,0.325,102.256,214893,4,2016-06-09T18:23:54Z
